winner,winning_bid,winner_value,utility,is_llm,bids,trial
Agent_1,99.0,99.13333139696404,0.13333139696403862,True,{'Agent_1': 99.0},0
Agent_4,98.0,98.56577505522745,0.5657750552274479,False,{'Agent_4': 98.0},1
Agent_3,99.0,99.71387104310348,0.7138710431034809,False,{'Agent_3': 99.0},2
Agent_0,89.0,89.11432563624513,0.11432563624512682,False,{'Agent_0': 89.0},3
Agent_3,78.0,78.42501114194386,0.42501114194385536,False,{'Agent_3': 78.0},4
Agent_0,97.0,97.49641444540268,0.496414445402678,False,{'Agent_0': 97.0},5
Agent_4,86.0,86.88094547488876,0.8809454748887617,False,{'Agent_4': 86.0},6
Agent_4,90.0,90.17542834989138,0.17542834989137646,False,{'Agent_4': 90.0},7
Agent_1,99.0,99.73933764972193,0.7393376497219322,False,{'Agent_1': 99.0},8
Agent_1,86.0,86.90127605747655,0.9012760574765508,False,{'Agent_1': 86.0},9
Agent_3,97.0,97.94081020106886,0.9408102010688566,False,{'Agent_3': 97.0},10
Agent_3,98.0,98.89160941374743,0.8916094137474317,False,{'Agent_3': 98.0},11
Agent_0,91.0,91.43218383922073,0.4321838392207269,False,{'Agent_0': 91.0},12
Agent_1,93.0,93.97363729040163,0.9736372904016264,False,{'Agent_1': 93.0},13
Agent_1,98.0,98.71144754186507,0.7114475418650699,False,{'Agent_1': 98.0},14
Agent_4,81.0,81.42542145388862,0.4254214538886174,False,{'Agent_4': 81.0},15
Agent_2,84.0,84.19877785531344,0.1987778553134376,False,{'Agent_2': 84.0},16
Agent_3,94.0,94.77895406098152,0.7789540609815191,False,{'Agent_3': 94.0},17
Agent_4,90.0,90.1732297178867,0.1732297178866986,False,{'Agent_4': 90.0},18
Agent_1,88.0,88.15074330702815,0.15074330702815075,True,{'Agent_1': 88.0},19
Agent_1,81.0,81.34600509665052,0.34600509665051504,False,{'Agent_1': 81.0},20
Agent_1,92.0,92.11266487280085,0.11266487280084903,False,{'Agent_1': 92.0},21
Agent_2,82.0,82.50098909857417,0.5009890985741663,False,{'Agent_2': 82.0},22
Agent_2,88.0,88.8004775099689,0.8004775099688999,True,{'Agent_2': 88.0},23
Agent_1,93.0,93.33450861147941,0.33450861147940714,True,{'Agent_1': 93.0},24
Agent_0,90.0,90.5344250266528,0.5344250266527979,False,{'Agent_0': 90.0},25
Agent_3,96.0,96.67597558777467,0.6759755877746727,False,{'Agent_3': 96.0},26
Agent_1,93.0,93.56273974379819,0.5627397437981898,False,{'Agent_1': 93.0},27
Agent_1,93.0,93.70178867301394,0.7017886730139367,False,{'Agent_1': 93.0},28
Agent_3,97.0,97.35614884392004,0.35614884392003887,False,{'Agent_3': 97.0},29
Agent_4,88.0,88.88770886502883,0.8877088650288272,False,{'Agent_4': 88.0},30
Agent_0,99.0,99.09917392930046,0.09917392930046276,False,{'Agent_0': 99.0},31
Agent_4,81.0,81.05823941600865,0.05823941600864657,False,{'Agent_4': 81.0},32
Agent_4,82.0,82.60008729791876,0.6000872979187619,False,{'Agent_4': 82.0},33
Agent_3,99.0,99.66698821133946,0.6669882113394578,False,{'Agent_3': 99.0},34
Agent_2,82.0,82.10805758118781,0.10805758118780773,False,{'Agent_2': 82.0},35
Agent_4,99.0,99.0931689315916,0.093168931591606,False,{'Agent_4': 99.0},36
Agent_1,96.0,96.76608861760847,0.7660886176084745,False,{'Agent_1': 96.0},37
Agent_3,97.0,97.02339240323693,0.02339240323692593,False,{'Agent_3': 97.0},38
Agent_2,94.0,94.01710400416991,0.01710400416990865,False,{'Agent_2': 94.0},39
Agent_0,90.0,90.0901787938746,0.0901787938745997,False,{'Agent_0': 90.0},40
Agent_1,93.0,93.97769701157708,0.977697011577078,True,{'Agent_1': 93.0},41
Agent_0,91.0,91.619923409366,0.6199234093659953,False,{'Agent_0': 91.0},42
Agent_4,98.0,98.19433587658663,0.19433587658663498,False,{'Agent_4': 98.0},43
Agent_0,98.0,98.7568210880622,0.7568210880621962,False,{'Agent_0': 98.0},44
Agent_1,97.0,97.64571379882901,0.6457137988290071,True,{'Agent_1': 97.0},45
Agent_0,90.0,90.88669616538759,0.8866961653875904,True,{'Agent_0': 90.0},46
Agent_2,89.0,89.58621155906378,0.5862115590637842,False,{'Agent_2': 89.0},47
Agent_0,97.0,97.7184090936981,0.7184090936980994,True,{'Agent_0': 97.0},48
Agent_1,82.0,82.18960002435472,0.1896000243547178,False,{'Agent_1': 82.0},49
Agent_2,94.0,94.54872709072765,0.5487270907276525,False,{'Agent_2': 94.0},50
Agent_2,99.0,99.70920800512226,0.7092080051222638,False,{'Agent_2': 99.0},51
Agent_1,70.0,70.7567585412059,0.7567585412058975,False,{'Agent_1': 70.0},52
Agent_1,79.0,79.36925255735714,0.369252557357143,False,{'Agent_1': 79.0},53
Agent_4,97.0,97.9529384957826,0.9529384957826039,False,{'Agent_4': 97.0},54
Agent_2,94.0,94.48793242262056,0.4879324226205597,True,{'Agent_2': 94.0},55
Agent_2,97.0,97.89115688064464,0.8911568806446439,False,{'Agent_2': 97.0},56
Agent_0,98.0,98.74900886986782,0.7490088698678221,False,{'Agent_0': 98.0},57
Agent_4,97.0,97.28268610353783,0.2826861035378272,False,{'Agent_4': 97.0},58
Agent_4,98.0,98.12018445945185,0.12018445945184908,False,{'Agent_4': 98.0},59
Agent_0,97.0,97.71899661671134,0.7189966167113369,False,{'Agent_0': 97.0},60
Agent_0,86.0,86.91910609582162,0.9191060958216184,False,{'Agent_0': 86.0},61
Agent_2,99.0,99.62802457747873,0.6280245774787261,False,{'Agent_2': 99.0},62
Agent_4,98.0,98.73712162957474,0.7371216295747445,True,{'Agent_4': 98.0},63
Agent_1,96.0,96.57604994922337,0.5760499492233748,False,{'Agent_1': 96.0},64
Agent_2,99.0,99.3443282380793,0.34432823807929935,False,{'Agent_2': 99.0},65
Agent_0,98.0,98.62867110855314,0.6286711085531351,False,{'Agent_0': 98.0},66
Agent_1,87.0,87.50657635189157,0.5065763518915674,False,{'Agent_1': 87.0},67
Agent_2,99.0,99.90810901658614,0.9081090165861383,False,{'Agent_2': 99.0},68
Agent_1,97.0,97.62704632584772,0.627046325847715,False,{'Agent_1': 97.0},69
Agent_3,88.0,88.87975773118832,0.8797577311883202,False,{'Agent_3': 88.0},70
Agent_3,93.0,93.96720032187639,0.9672003218763905,False,{'Agent_3': 93.0},71
Agent_0,97.0,97.1968978595437,0.19689785954369654,False,{'Agent_0': 97.0},72
Agent_0,98.0,98.33850486935799,0.3385048693579904,False,{'Agent_0': 98.0},73
Agent_2,95.0,95.3238949767722,0.3238949767721948,False,{'Agent_2': 95.0},74
Agent_3,92.0,92.34919154525043,0.3491915452504344,False,{'Agent_3': 92.0},75
Agent_0,91.0,91.98009427546839,0.9800942754683888,True,{'Agent_0': 91.0},76
Agent_1,85.0,85.56434342664602,0.564343426646019,False,{'Agent_1': 85.0},77
Agent_4,92.0,92.02453532738829,0.02453532738829267,False,{'Agent_4': 92.0},78
Agent_1,86.0,86.8844032686793,0.8844032686793071,False,{'Agent_1': 86.0},79
Agent_0,87.0,87.73746166865783,0.7374616686578293,False,{'Agent_0': 87.0},80
Agent_3,97.0,97.22779750820982,0.22779750820981803,False,{'Agent_3': 97.0},81
Agent_0,79.0,79.58568104768835,0.5856810476883538,False,{'Agent_0': 79.0},82
Agent_0,98.0,98.07367801951868,0.07367801951868103,False,{'Agent_0': 98.0},83
Agent_2,88.0,88.4056949138319,0.40569491383189416,False,{'Agent_2': 88.0},84
Agent_1,90.0,90.44226474181697,0.4422647418169703,False,{'Agent_1': 90.0},85
Agent_0,91.0,91.2296078971986,0.22960789719860486,False,{'Agent_0': 91.0},86
Agent_2,92.0,92.93131231990267,0.9313123199026734,False,{'Agent_2': 92.0},87
Agent_0,90.0,90.40016523569233,0.4001652356923273,True,{'Agent_0': 90.0},88
Agent_1,99.0,99.9725067711563,0.9725067711563042,True,{'Agent_1': 99.0},89
Agent_0,94.0,94.61161881505183,0.6116188150518269,False,{'Agent_0': 94.0},90
Agent_0,94.0,94.44194785080967,0.4419478508096688,False,{'Agent_0': 94.0},91
Agent_0,92.0,92.21761973481114,0.21761973481113728,False,{'Agent_0': 92.0},92
Agent_3,99.0,99.41953209047176,0.4195320904717619,False,{'Agent_3': 99.0},93
Agent_1,90.0,90.00376545956463,0.0037654595646330336,False,{'Agent_1': 90.0},94
Agent_0,88.0,88.05706109585726,0.05706109585726438,False,{'Agent_0': 88.0},95
Agent_1,83.0,83.09702117216645,0.09702117216644979,False,{'Agent_1': 83.0},96
Agent_3,95.0,95.09269427331424,0.09269427331423685,False,{'Agent_3': 95.0},97
Agent_2,90.0,90.96541161750773,0.9654116175077263,False,{'Agent_2': 90.0},98
Agent_2,94.0,94.00424959162791,0.0042495916279108314,False,{'Agent_2': 94.0},99
