winner,winning_bid,winner_value,utility,is_llm,bids,trial
Agent_0,83.0,92.99390590544088,9.993905905440883,False,"{'Agent_0': 82.0, 'Agent_1': 79.0, 'Agent_2': 72.0, 'Agent_3': 71.0, 'Agent_4': 81.0}",0
Agent_3,84.0,87.30207704372823,3.3020770437282323,False,"{'Agent_0': 82.0, 'Agent_1': 79.0, 'Agent_2': 73.0, 'Agent_3': 83.0, 'Agent_4': 61.0}",1
Agent_3,95.0,97.17731501390088,2.1773150139008806,False,"{'Agent_0': 85.0, 'Agent_1': 93.0, 'Agent_2': 60.0, 'Agent_3': 94.0, 'Agent_4': 66.0}",2
Agent_1,89.0,98.3212707721589,9.321270772158897,False,"{'Agent_0': 60.0, 'Agent_1': 88.0, 'Agent_2': 68.0, 'Agent_3': 87.0, 'Agent_4': 65.0}",3
Agent_1,88.0,97.30902250903696,9.309022509036964,False,"{'Agent_0': 66.0, 'Agent_1': 87.0, 'Agent_2': 70.0, 'Agent_3': 86.0, 'Agent_4': 70.0}",4
Agent_4,88.0,89.0395345388178,1.0395345388178043,False,"{'Agent_0': 86.0, 'Agent_1': 85.0, 'Agent_2': 62.0, 'Agent_3': 85.0, 'Agent_4': 87.0}",5
Agent_0,70.0,77.16923763021387,7.169237630213871,False,"{'Agent_0': 69.0, 'Agent_1': 63.0, 'Agent_2': 63.0, 'Agent_3': 68.0, 'Agent_4': 63.0}",6
Agent_4,89.0,92.68436107653193,3.6843610765319283,True,"{'Agent_0': 69.0, 'Agent_1': 87.0, 'Agent_2': 60.0, 'Agent_3': 87.0, 'Agent_4': 88.0}",7
Agent_4,89.0,92.23827335310793,3.238273353107928,False,"{'Agent_0': 87.0, 'Agent_1': 79.0, 'Agent_2': 69.0, 'Agent_3': 63.0, 'Agent_4': 88.0}",8
Agent_1,92.0,95.23955979921082,3.2395597992108236,False,"{'Agent_0': 72.0, 'Agent_1': 91.0, 'Agent_2': 65.0, 'Agent_3': 90.0, 'Agent_4': 90.0}",9
Agent_1,87.0,87.08548311676176,0.08548311676176468,True,"{'Agent_0': 85.0, 'Agent_1': 86.0, 'Agent_2': 62.0, 'Agent_3': 82.0, 'Agent_4': 84.0}",10
Agent_1,87.0,88.89728105457289,1.8972810545728862,True,"{'Agent_0': 77.0, 'Agent_1': 86.0, 'Agent_2': 85.0, 'Agent_3': 66.0, 'Agent_4': 76.0}",11
Agent_0,92.0,94.398500984086,2.3985009840859988,False,"{'Agent_0': 91.0, 'Agent_1': 63.0, 'Agent_2': 64.0, 'Agent_3': 90.0, 'Agent_4': 83.0}",12
Agent_2,87.0,91.64306644792265,4.643066447922649,False,"{'Agent_0': 74.0, 'Agent_1': 77.0, 'Agent_2': 86.0, 'Agent_3': 69.0, 'Agent_4': 85.0}",13
Agent_3,89.0,91.15878610053039,2.158786100530392,False,"{'Agent_0': 82.0, 'Agent_1': 84.0, 'Agent_2': 84.0, 'Agent_3': 88.0, 'Agent_4': 87.0}",14
Agent_4,86.0,85.84679098563467,-0.15320901436533063,False,"{'Agent_0': 68.0, 'Agent_1': 84.0, 'Agent_2': 67.0, 'Agent_3': 75.0, 'Agent_4': 85.0}",15
Agent_3,83.0,83.75719072550893,0.7571907255089343,False,"{'Agent_0': 79.0, 'Agent_1': 64.0, 'Agent_2': 79.0, 'Agent_3': 82.0, 'Agent_4': 81.0}",16
Agent_0,99.0,99.47530131372756,0.4753013137275559,True,"{'Agent_0': 98.0, 'Agent_1': 97.0, 'Agent_2': 65.0, 'Agent_3': 94.0, 'Agent_4': 82.0}",17
Agent_3,83.0,99.49465059350939,16.49465059350939,False,"{'Agent_0': 81.0, 'Agent_1': 66.0, 'Agent_2': 78.0, 'Agent_3': 82.0, 'Agent_4': 62.0}",18
Agent_4,72.0,91.57159995972366,19.571599959723656,True,"{'Agent_0': 62.0, 'Agent_1': 70.0, 'Agent_2': 61.0, 'Agent_3': 62.0, 'Agent_4': 71.0}",19
Agent_2,90.0,90.68440002662896,0.684400026628964,False,"{'Agent_0': 71.0, 'Agent_1': 88.0, 'Agent_2': 89.0, 'Agent_3': 76.0, 'Agent_4': 76.0}",20
Agent_4,83.0,96.83699435090944,13.836994350909436,True,"{'Agent_0': 81.0, 'Agent_1': 66.0, 'Agent_2': 63.0, 'Agent_3': 63.0, 'Agent_4': 82.0}",21
Agent_3,89.0,93.3810587673901,4.381058767390101,False,"{'Agent_0': 81.0, 'Agent_1': 75.0, 'Agent_2': 85.0, 'Agent_3': 88.0, 'Agent_4': 87.0}",22
Agent_2,79.0,98.13711906864289,19.13711906864289,False,"{'Agent_0': 72.0, 'Agent_1': 77.0, 'Agent_2': 78.0, 'Agent_3': 69.0, 'Agent_4': 69.0}",23
Agent_3,87.0,86.64318315437242,-0.3568168456275771,True,"{'Agent_0': 64.0, 'Agent_1': 84.0, 'Agent_2': 62.0, 'Agent_3': 86.0, 'Agent_4': 86.0}",24
Agent_4,90.0,98.12064807018791,8.120648070187912,False,"{'Agent_0': 64.0, 'Agent_1': 88.0, 'Agent_2': 88.0, 'Agent_3': 66.0, 'Agent_4': 89.0}",25
Agent_1,91.0,92.90027490877077,1.9002749087707684,False,"{'Agent_0': 80.0, 'Agent_1': 90.0, 'Agent_2': 70.0, 'Agent_3': 74.0, 'Agent_4': 89.0}",26
Agent_2,91.0,95.99589706342108,4.995897063421083,True,"{'Agent_0': 89.0, 'Agent_1': 64.0, 'Agent_2': 90.0, 'Agent_3': 73.0, 'Agent_4': 77.0}",27
