winner,winning_bid,winner_value,utility,is_llm,bids,trial
Agent_2,71.70136782936564,89.62670978670704,17.925341957341402,False,"{'Agent_0': 52.46521371280461, 'Agent_1': 48.58417119069886, 'Agent_2': 71.70136782936564, 'Agent_3': 65.4517290799472, 'Agent_4': 66.89576039836928}",0
Agent_4,68.79630200894474,85.99537751118092,17.199075502236184,False,"{'Agent_0': 60.924710470211984, 'Agent_1': 64.1713692193076, 'Agent_2': 48.84915102988364, 'Agent_3': 54.36280482197275, 'Agent_4': 68.79630200894474}",1
Agent_2,75.81761026537389,94.77201283171736,18.954402566343475,False,"{'Agent_0': 62.37468948108332, 'Agent_1': 60.8606112065304, 'Agent_2': 75.81761026537389, 'Agent_3': 72.28183574815255, 'Agent_4': 53.10909812406049}",2
Agent_1,78.630818310617,98.28852288827125,19.657704577654243,False,"{'Agent_0': 52.97534399397702, 'Agent_1': 78.630818310617, 'Agent_2': 70.66287165585307, 'Agent_3': 50.96786698816474, 'Agent_4': 51.09492405867085}",3
Agent_4,74.57763471204831,96.8918148811264,22.314180169078085,True,"{'Agent_0': 56.464667751104415, 'Agent_1': 49.390414173539114, 'Agent_2': 62.70159614949896, 'Agent_3': 51.99443721130271, 'Agent_4': 74.57763471204831}",4
Agent_0,74.54094925609584,93.1761865701198,18.635237314023954,False,"{'Agent_0': 74.54094925609584, 'Agent_1': 67.79263207565587, 'Agent_2': 71.93344464014397, 'Agent_3': 66.47526864821639, 'Agent_4': 70.54629875887755}",5
Agent_1,85.82489603117611,99.40886082643031,13.583964795254204,True,"{'Agent_0': 72.73818690523814, 'Agent_1': 85.82489603117611, 'Agent_2': 75.3701670724847, 'Agent_3': 75.72747733616863, 'Agent_4': 60.164039201253324}",6
Agent_3,70.45825003067364,88.07281253834205,17.61456250766841,False,"{'Agent_0': 53.20493110899472, 'Agent_1': 59.368662407280695, 'Agent_2': 66.6548147680871, 'Agent_3': 70.45825003067364, 'Agent_4': 69.87352529717336}",7
Agent_4,77.61251774787898,97.01564718484872,19.403129436969735,False,"{'Agent_0': 65.09247606495066, 'Agent_1': 64.35145278802325, 'Agent_2': 62.79232677923571, 'Agent_3': 56.63833045709689, 'Agent_4': 77.61251774787898}",8
Agent_1,77.67615539944377,93.71407680759239,16.03792140814862,True,"{'Agent_0': 69.907656031676, 'Agent_1': 77.67615539944377, 'Agent_2': 72.83199716947983, 'Agent_3': 55.32953830285134, 'Agent_4': 49.02720780492921}",9
